date,cases
12/22/2010,354
12/23/2010,378
12/24/2010,358
12/25/2010,342
12/26/2010,376
12/27/2010,480
12/28/2010,401
12/29/2010,420
12/30/2010,350
12/31/2010,401
01/01/2011,387
01/02/2011,420
01/03/2011,463
01/04/2011,428
01/05/2011,345
01/06/2011,368
01/07/2011,380
01/08/2011,342
01/09/2011,413
01/10/2011,431
01/11/2011,410
01/12/2011,387
01/13/2011,394
01/14/2011,359
01/15/2011,408
01/16/2011,389
01/17/2011,447
01/18/2011,368
01/19/2011,404
01/20/2011,411
01/21/2011,377
01/22/2011,376
01/23/2011,372
01/24/2011,464
01/25/2011,393
01/26/2011,344
01/27/2011,397
01/28/2011,378
01/29/2011,360
01/30/2011,384
01/31/2011,361
02/01/2011,332
02/02/2011,297
02/03/2011,365
02/04/2011,459
02/05/2011,493
02/06/2011,423
02/07/2011,506
02/08/2011,406
02/09/2011,408
02/10/2011,411
02/11/2011,420
02/12/2011,364
02/13/2011,421
02/14/2011,433
02/15/2011,400
02/16/2011,375
02/17/2011,405
02/18/2011,362
02/19/2011,374
02/20/2011,384
02/21/2011,479
02/22/2011,365
02/23/2011,350
02/24/2011,348
02/25/2011,357
02/26/2011,409
02/27/2011,399
02/28/2011,451
03/01/2011,404
03/02/2011,385
03/03/2011,400
03/04/2011,386
03/05/2011,367
03/06/2011,395
03/07/2011,463
03/08/2011,368
03/09/2011,406
03/10/2011,366
03/11/2011,385
03/12/2011,364
03/13/2011,351
03/14/2011,442
03/15/2011,374
03/16/2011,392
03/17/2011,390
03/18/2011,389
03/19/2011,321
03/20/2011,400
03/21/2011,430
03/22/2011,392
03/23/2011,403
03/24/2011,394
03/25/2011,396
03/26/2011,401
03/27/2011,357
03/28/2011,475
03/29/2011,354
03/30/2011,353
03/31/2011,406
04/01/2011,364
04/02/2011,365
04/03/2011,401
04/04/2011,491
04/05/2011,392
04/06/2011,389
04/07/2011,379
04/08/2011,391
04/09/2011,385
04/10/2011,392
04/11/2011,463
04/12/2011,422
04/13/2011,366
04/14/2011,368
04/15/2011,346
04/16/2011,366
04/17/2011,347
04/18/2011,435
04/19/2011,402
04/20/2011,344
04/21/2011,395
04/22/2011,353
04/23/2011,348
04/24/2011,377
04/25/2011,452
04/26/2011,380
04/27/2011,349
04/28/2011,355
04/29/2011,373
04/30/2011,359
05/01/2011,373
05/02/2011,434
05/03/2011,447
05/04/2011,405
05/05/2011,379
05/06/2011,359
05/07/2011,361
05/08/2011,361
05/09/2011,503
05/10/2011,376
05/11/2011,372
05/12/2011,371
05/13/2011,353
05/14/2011,341
05/15/2011,348
05/16/2011,467
05/17/2011,354
05/18/2011,440
05/19/2011,368
05/20/2011,352
05/21/2011,404
05/22/2011,394
05/23/2011,480
05/24/2011,419
05/25/2011,379
05/26/2011,355
05/27/2011,373
05/28/2011,324
05/29/2011,416
05/30/2011,444
05/31/2011,355
06/01/2011,361
06/02/2011,356
06/03/2011,359
06/04/2011,359
06/05/2011,389
06/06/2011,451
06/07/2011,399
06/08/2011,367
06/09/2011,352
06/10/2011,339
06/11/2011,357
06/12/2011,374
06/13/2011,454
06/14/2011,415
06/15/2011,381
06/16/2011,357
06/17/2011,376
06/18/2011,382
06/19/2011,396
06/20/2011,457
06/21/2011,422
06/22/2011,413
06/23/2011,379
06/24/2011,427
06/25/2011,367
06/26/2011,394
06/27/2011,499
06/28/2011,406
06/29/2011,398
06/30/2011,321
07/01/2011,376
07/02/2011,372
07/03/2011,394
07/04/2011,467
07/05/2011,364
07/06/2011,375
07/07/2011,373
07/08/2011,388
07/09/2011,383
07/10/2011,406
07/11/2011,467
07/12/2011,414
07/13/2011,428
07/14/2011,380
07/15/2011,368
07/16/2011,396
07/17/2011,386
07/18/2011,431
07/19/2011,400
07/20/2011,398
07/21/2011,396
07/22/2011,359
07/23/2011,373
07/24/2011,377
07/25/2011,442
07/26/2011,386
07/27/2011,380
07/28/2011,385
07/29/2011,366
07/30/2011,374
07/31/2011,366
08/01/2011,447
08/02/2011,402
08/03/2011,389
08/04/2011,347
08/05/2011,406
08/06/2011,354
08/07/2011,315
08/08/2011,421
08/09/2011,364
08/10/2011,425
08/11/2011,382
08/12/2011,370
08/13/2011,353
08/14/2011,387
08/15/2011,443
08/16/2011,357
08/17/2011,349
08/18/2011,367
08/19/2011,388
08/20/2011,343
08/21/2011,381
08/22/2011,440
08/23/2011,350
08/24/2011,407
08/25/2011,328
08/26/2011,347
08/27/2011,335
08/28/2011,353
08/29/2011,400
08/30/2011,341
08/31/2011,401
09/01/2011,396
09/02/2011,344
09/03/2011,353
09/04/2011,384
09/05/2011,453
09/06/2011,409
09/07/2011,373
09/08/2011,409
09/09/2011,399
09/10/2011,378
09/11/2011,346
09/12/2011,472
09/13/2011,411
09/14/2011,377
09/15/2011,441
09/16/2011,384
09/17/2011,370
09/18/2011,406
09/19/2011,458
09/20/2011,387
09/21/2011,398
09/22/2011,348
09/23/2011,407
09/24/2011,369
09/25/2011,430
09/26/2011,463
09/27/2011,422
09/28/2011,381
09/29/2011,409
09/30/2011,422
10/01/2011,354
10/02/2011,387
10/03/2011,455
10/04/2011,408
10/05/2011,383
10/06/2011,377
10/07/2011,416
10/08/2011,402
10/09/2011,339
10/10/2011,437
10/11/2011,365
10/12/2011,368
10/13/2011,381
10/14/2011,383
10/15/2011,383
10/16/2011,395
10/17/2011,497
10/18/2011,398
10/19/2011,415
10/20/2011,400
10/21/2011,367
10/22/2011,377
10/23/2011,408
10/24/2011,520
10/25/2011,403
10/26/2011,382
10/27/2011,420
10/28/2011,408
10/29/2011,396
10/30/2011,427
10/31/2011,504
11/01/2011,412
11/02/2011,417
11/03/2011,413
11/04/2011,362
11/05/2011,350
11/06/2011,407
11/07/2011,486
11/08/2011,544
11/09/2011,407
11/10/2011,427
11/11/2011,390
11/12/2011,362
11/13/2011,378
11/14/2011,434
11/15/2011,421
11/16/2011,399
11/17/2011,386
11/18/2011,394
11/19/2011,363
11/20/2011,400
11/21/2011,476
11/22/2011,428
11/23/2011,394
11/24/2011,403
11/25/2011,407
11/26/2011,380
11/27/2011,352
11/28/2011,451
11/29/2011,368
11/30/2011,393
12/01/2011,388
12/02/2011,397
12/03/2011,350
12/04/2011,376
12/05/2011,474
12/06/2011,449
12/07/2011,413
12/08/2011,388
12/09/2011,376
12/10/2011,390
12/11/2011,362
12/12/2011,510
12/13/2011,409
12/14/2011,437
12/15/2011,410
12/16/2011,408
12/17/2011,341
12/18/2011,386
12/19/2011,416
12/20/2011,404
12/21/2011,394
12/22/2011,404
12/23/2011,384
12/24/2011,404
12/25/2011,386
12/26/2011,460
12/27/2011,503
12/28/2011,404
12/29/2011,431
12/30/2011,387
12/31/2011,407
01/01/2012,448
01/02/2012,490
01/03/2012,492
01/04/2012,449
01/05/2012,413
01/06/2012,400
01/07/2012,418
01/08/2012,401
01/09/2012,481
01/10/2012,397
01/11/2012,398
01/12/2012,438
01/13/2012,390
01/14/2012,428
01/15/2012,417
01/16/2012,481
